rank,sector,composite,n_growth,n_resilience,n_capinv,reconstruction,export_fx,entry,return_evidence,exit_liq,safety,prewar_cagr_usd,war_resilience_usd,capinv_momentum,basis
1,Defense tech,7.289,3.185,10.0,10.0,8,8,6,9,4,5,0.1,6.0,5.0,"briefs/03: output $1bn->$35bn capacity (35x); exports legalized Jul-2026 (20% levy); Ukraine assets at 2.5-6x rev vs 10-14x EU peers; 25% margin cap, procurement concentration, froth"
2,Energy (solar/BESS/DG/biomethane),7.093,8.348,6.043,0.735,10,5,9,8,5,6,0.181,1.419,0.401,briefs/02: RDNA energy needs; BESS 5-yr EUR-fixed Ukrenergo contracts; CHP payback 2-4y; solar ~11% unlevered; biomethane EU export premium 2x; physical-strike exposure real
3,Farmland & primary agriculture,6.836,4.504,1.465,4.294,6,9,10,9,6,7,0.121,0.746,1.399,briefs/01: price +96% UAH since 2021 yet 17-25% of BG/RO/HU level; 15-25% unlevered yield (briefs/07 §6); resident-only market = structural discount; liquid enough at 340k ha/yr traded
4,IT services & Diia City,6.615,8.828,2.792,6.073,4,9,9,7,6,7,0.189,0.941,1.898,"briefs/04: exports bottomed 2024, +3.3% 2025; M&A at 3-4x EBITDA = 35-65% discount to peers; Diia City 9%/5% tax; mobilization + AI-cannibalization risks"
5,Liquid sovereign credit (eurobonds/OVDP),6.528,0.0,7.278,2.871,5,7,10,7,10,5,0.05,1.6,1.0,"briefs/06: B-2036 at ~58 = +30-60% on normalization, -30-40% on re-default; OVDP 15-16% tax-free; instant deployment, daily liquidity"
6,Logistics & warehousing,5.721,3.054,1.96,1.438,8,6,8,7,5,6,0.098,0.819,0.598,"briefs/05: Kyiv vacancy 3-3.5%, prime rent $5.3, take-up decade record; small-format YoC ~15%; big-box spec dev marginal (value<=replacement); Lviv rents above Kyiv"
7,Residential development,5.668,10.0,1.003,0.35,9,2,8,6,6,6,0.207,0.678,0.293,briefs/05: dev margin 25-40% Lviv/Kyiv; eOselia = 1/3 of new-build sales; RDNA5 housing $90bn; transactions still -37% vs 2021; UAH revenue = FX-naked
8,Agro-processing & food export,5.536,3.983,2.291,1.516,6,9,7,6,5,6,0.113,0.867,0.62,briefs/07: $22.7bn exports (56% of total); crush overcapacity (margins negative MY24/25-25/26) but soy/rape duty + niches (berries/organic/dairy) attractive; strike risk on plants
9,Construction materials,5.011,3.983,2.291,1.516,10,3,6,5,4,6,0.113,0.867,0.62,briefs/05: construction output +12-15.5%/yr 2024-25; cement still ~30% below pre-war; demand contingent on reconstruction funding flow-through
10,Consumer/retail/pharma,4.934,5.588,2.965,1.885,5,3,7,5,5,7,0.138,0.966,0.723,"briefs/08: real wages +8-9%/yr above CPI (Derzhstat wage series), consumer recovery; GVA resilience strong; competitive market, few distressed entry points"
11,Metals & mining,3.882,9.424,0.0,0.0,5,8,3,3,4,4,0.198,0.531,0.195,briefs/06: Ferrexpo quasi-distressed (ARMA seizure = governance base-rate); capital intensity above $10M ticket; energy-cost and logistics exposure
